Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,total_PTS,total_RBS,total_AST,total_MP,total_BLK,total_STL,total_3PT,total_2P
Jay Huff,26,MEM,C,2,0,9.0,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,2.0,2.0,1.0,0.5,1.0,1.5,0.5,0.0,1.5,0.5,0.5,4.0,8,3,1,18,3,0,0,2
Quinten Post,24,GSW,PF,12,2,12.2,1.3,4.0,0.333,0.8,2.7,0.313,0.5,1.3,0.375,0.438,0.3,0.3,0.75,0.5,1.8,2.3,1.0,0.3,0.3,0.5,1.7,3.8,46,28,12,146,4,4,10,6
Jonathan Isaac,27,ORL,PF,5,0,13.8,1.4,2.4,0.583,0.2,0.8,0.25,1.2,1.6,0.75,0.625,0.6,1.0,0.6,1.0,1.0,2.0,0.4,0.4,0.2,0.4,0.6,3.6,18,10,2,69,1,2,1,6
Sam Hauser,27,BOS,PF,8,0,13.5,1.3,3.0,0.417,0.9,2.6,0.333,0.4,0.4,1.0,0.563,0.1,0.1,1.0,0.0,1.5,1.5,0.5,0.1,0.1,0.4,1.4,3.5,28,12,4,108,1,1,7,3
Ajay Mitchell,22,OKC,SG,12,0,7.0,1.3,2.9,0.457,0.4,1.1,0.385,0.9,1.8,0.5,0.529,0.3,0.4,0.8,0.3,0.5,0.8,0.8,0.2,0.0,0.5,0.6,3.4,41,10,10,84,0,2,5,11
Ryan Rollins,22,MIL,PG,3,1,10.0,1.3,4.3,0.308,0.7,2.3,0.286,0.7,2.0,0.333,0.385,0.0,0.0,,0.3,0.3,0.7,1.3,0.3,0.0,0.0,1.3,3.3,10,2,4,30,0,1,2,2
Ben Sheppard,23,IND,SG,21,0,14.0,1.1,2.4,0.471,0.7,1.8,0.395,0.4,0.6,0.692,0.618,0.2,0.2,1.0,0.4,1.5,1.9,0.4,0.4,0.0,0.5,1.8,3.2,67,40,8,294,0,8,15,8
Patty Mills,36,LAC,PG,1,0,4.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3,0,0,4,0,0,1,0
Hunter Tyson,24,DEN,PF,5,0,6.0,1.0,2.0,0.5,0.2,1.0,0.2,0.8,1.0,0.8,0.55,0.8,0.8,1.0,0.8,0.8,1.6,0.4,0.2,0.0,0.2,0.6,3.0,15,8,2,30,0,1,1,4
Jarace Walker,21,IND,PF,12,0,9.8,1.1,2.8,0.382,0.7,1.7,0.4,0.4,1.2,0.357,0.5,0.2,0.3,0.5,0.2,1.6,1.8,0.7,0.2,0.2,0.6,0.8,3.0,36,22,8,118,2,2,8,5
John Konchar,28,MEM,SG,4,0,17.3,0.8,2.3,0.333,0.3,1.5,0.167,0.5,0.8,0.667,0.389,1.0,1.0,1.0,0.8,2.5,3.3,1.5,0.5,0.5,0.5,2.0,2.8,11,13,6,69,2,2,1,2
Paul Reed,25,DET,C,5,0,10.6,1.0,1.6,0.625,0.0,0.0,,1.0,1.6,0.625,0.625,0.8,1.2,0.667,1.4,1.6,3.0,0.2,1.0,0.6,1.0,1.6,2.8,14,15,1,53,3,5,0,5
Jericho Sims,26,MIL,C,5,0,11.6,1.2,1.2,1.0,0.0,0.0,,1.2,1.2,1.0,1.0,0.4,0.6,0.667,2.2,1.8,4.0,0.2,0.0,0.2,1.0,1.0,2.8,14,20,1,58,1,0,0,6
Gabe Vincent,28,LAL,PG,5,0,19.8,1.0,2.8,0.357,0.8,2.6,0.308,0.2,0.2,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.4,0.2,1.6,2.8,14,5,5,99,2,1,4,1
Rob Dillingham,20,MIN,PG,3,0,5.3,1.0,2.7,0.375,0.3,0.7,0.5,0.7,2.0,0.333,0.438,0.3,0.7,0.5,0.0,0.7,0.7,2.3,0.0,0.0,0.0,0.3,2.7,8,2,7,16,0,0,1,2
Thomas Bryant,27,IND,C,20,0,8.4,0.8,1.7,0.485,0.5,0.9,0.5,0.4,0.8,0.467,0.621,0.6,0.7,0.786,0.4,1.0,1.4,0.2,0.2,0.3,0.4,1.3,2.6,52,28,4,168,6,4,10,8
Luka Garza,26,MIN,C,5,0,3.8,1.2,1.2,1.0,0.2,0.2,1.0,1.0,1.0,1.0,1.083,0.0,0.0,,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.2,2.6,13,3,0,19,0,0,1,5
Gui Santos,22,GSW,PF,10,0,7.2,0.9,1.7,0.529,0.4,1.0,0.4,0.5,0.7,0.714,0.647,0.4,0.6,0.667,0.3,0.9,1.2,0.8,0.3,0.1,0.6,1.0,2.6,26,12,8,72,1,3,4,5
Jaylin Williams,22,OKC,PF,17,0,8.3,0.9,2.1,0.429,0.5,1.5,0.36,0.4,0.6,0.6,0.557,0.4,0.6,0.545,0.2,1.6,1.9,1.0,0.5,0.1,0.7,1.8,2.6,44,32,17,141,2,8,8,7
Javonte Green,31,CLE,SG,6,0,6.5,0.7,1.7,0.4,0.2,0.8,0.2,0.5,0.8,0.6,0.45,1.0,1.0,1.0,0.2,1.3,1.5,0.3,0.7,0.0,0.3,0.3,2.5,15,9,2,39,0,4,1,3
Dalton Knecht,23,LAL,SF,2,0,2.0,1.0,2.5,0.4,0.5,2.0,0.25,0.5,0.5,1.0,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,2.5,5,3,0,4,0,0,1,1
Neemias Queta,25,BOS,C,4,0,3.3,1.3,1.5,0.833,0.0,0.0,,1.3,1.5,0.833,0.833,0.0,0.0,,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.5,2.5,10,2,2,13,0,1,0,5
Landry Shamet,27,NYK,SG,11,0,7.5,0.8,1.8,0.45,0.6,1.4,0.467,0.2,0.5,0.4,0.625,0.1,0.4,0.25,0.0,0.4,0.4,0.7,0.1,0.0,0.4,0.5,2.4,26,4,8,82,0,1,7,2
Kenrich Williams,30,OKC,PF,16,0,8.6,1.0,2.5,0.4,0.3,1.3,0.2,0.8,1.3,0.6,0.45,0.2,0.4,0.5,0.5,1.7,2.2,0.4,0.4,0.1,0.4,0.4,2.4,38,35,6,138,2,6,5,13
Dillon Jones,23,OKC,SF,10,0,4.6,0.9,1.1,0.818,0.3,0.4,0.75,0.6,0.7,0.857,0.955,0.2,0.2,1.0,0.3,0.6,0.9,0.5,0.1,0.1,0.6,0.4,2.3,23,9,5,46,1,1,3,6
Jordan Miller,25,LAC,SF,3,0,4.3,1.0,2.3,0.429,0.0,0.3,0.0,1.0,2.0,0.5,0.429,0.3,0.7,0.5,0.0,0.7,0.7,1.3,1.0,0.0,0.0,0.0,2.3,7,2,4,13,0,3,0,3
Tristan Thompson,33,CLE,C,3,0,9.7,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.3,1.0,0.333,0.7,4.3,5.0,0.3,0.3,0.7,0.7,0.7,2.3,7,15,1,29,2,1,0,3
Cole Anthony,24,ORL,PG,5,0,10.2,0.8,2.8,0.286,0.0,1.2,0.0,0.8,1.6,0.5,0.286,0.6,0.8,0.75,0.6,0.8,1.4,1.2,0.0,0.2,1.8,2.4,2.2,11,7,6,51,1,0,0,4
Jaylen Clark,23,MIN,SG,5,0,5.6,0.8,1.0,0.8,0.0,0.2,0.0,0.8,0.8,1.0,0.8,0.6,0.8,0.75,0.4,1.0,1.4,0.2,0.4,0.0,0.2,0.4,2.2,11,7,1,28,0,2,0,4
Kevon Looney,28,GSW,C,12,0,10.0,0.8,1.9,0.435,0.0,0.0,,0.8,1.9,0.435,0.435,0.5,0.7,0.75,1.4,2.2,3.6,0.3,0.4,0.3,0.2,2.3,2.2,26,43,4,120,4,5,0,10
Cameron Payne,30,NYK,PG,14,0,7.3,0.9,2.6,0.324,0.4,1.5,0.238,0.5,1.1,0.438,0.392,0.1,0.2,0.333,0.0,0.6,0.6,0.6,0.4,0.1,0.5,1.6,2.1,29,8,8,102,1,6,6,7
Pat Connaughton,32,MIL,SG,3,0,4.7,0.7,2.7,0.25,0.3,1.3,0.25,0.3,1.3,0.25,0.313,0.3,0.7,0.5,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,2.0,6,2,1,14,0,0,1,1
Maxi Kleber,33,LAL,PF,1,0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2,0,0,5,0,0,0,0
Jock Landale,29,HOU,C,1,0,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0,0,5,0,0,0,1
Craig Porter Jr.,24,CLE,PG,6,0,5.8,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.5,0.5,1.0,1.5,0.5,0.3,0.3,0.3,2.0,12,6,9,35,2,3,0,6
Baylor Scheierman,24,BOS,SG,4,0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0,8,4,0,22,0,0,2,1
Lamar Stevens,27,MEM,PF,2,0,6.0,1.0,4.5,0.222,0.0,1.5,0.0,1.0,3.0,0.333,0.222,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,0.5,0.5,2.0,4,4,1,12,0,0,0,2
Isaiah Stewart,23,DET,C,1,0,19.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,0.0,5.0,2.0,2,5,1,19,2,0,0,1
Xavier Tillman Sr.,26,BOS,C,1,0,8.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2,3,0,8,0,0,0,1
Precious Achiuwa,25,NYK,C,8,0,4.3,0.8,1.8,0.429,0.0,0.1,0.0,0.8,1.6,0.462,0.429,0.3,0.5,0.5,0.4,0.8,1.1,0.0,0.1,0.0,0.1,0.3,1.8,14,9,0,34,0,1,0,6
Jaxson Hayes,24,LAL,C,4,4,7.8,0.8,2.0,0.375,0.0,0.0,,0.8,2.0,0.375,0.375,0.3,0.5,0.5,1.3,0.8,2.0,0.3,0.0,0.3,0.3,2.0,1.8,7,8,1,31,1,0,0,3
Ron Holland,19,DET,SF,5,0,6.8,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,1.8,2.0,0.9,0.6,0.6,1.2,0.0,0.0,0.2,1.2,1.0,1.8,9,6,0,34,1,0,0,0
Cam Christie,19,LAC,SG,3,0,4.3,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.3,0.0,1.7,5,2,0,13,0,1,1,1
Dean Wade,28,CLE,PF,9,1,15.8,0.7,2.0,0.333,0.3,1.6,0.214,0.3,0.4,0.75,0.417,0.0,0.0,,1.1,3.1,4.2,0.7,0.3,0.1,0.3,1.1,1.7,15,38,6,142,1,3,3,3
Ousmane Dieng,21,OKC,C,9,0,3.6,0.4,1.1,0.4,0.4,0.8,0.571,0.0,0.3,0.0,0.6,0.2,0.2,1.0,0.0,0.4,0.4,0.3,0.0,0.1,0.0,0.0,1.6,14,4,3,32,1,0,4,0
Jalen Pickett,25,DEN,SG,8,0,7.1,0.6,1.9,0.333,0.4,1.1,0.333,0.3,0.8,0.333,0.433,0.0,0.0,,0.0,0.9,0.9,0.6,0.0,0.1,0.8,0.4,1.6,13,7,5,57,1,0,3,2
Tony Bradley,27,IND,C,11,0,7.1,0.4,0.8,0.444,0.0,0.1,0.0,0.4,0.7,0.5,0.444,0.8,1.1,0.75,1.0,0.9,1.9,0.3,0.0,0.1,0.4,0.9,1.5,16,21,3,78,1,0,0,4
Gary Harris,30,ORL,SG,5,0,16.6,0.6,1.6,0.375,0.2,1.2,0.167,0.4,0.4,1.0,0.438,0.0,0.0,,0.2,0.8,1.0,0.6,0.6,0.2,0.0,1.4,1.4,7,5,3,83,1,3,1,2
James Johnson,37,IND,PF,5,0,3.6,0.6,1.0,0.6,0.0,0.2,0.0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0.0,0.2,0.2,0.4,0.4,0.4,0.2,0.6,1.4,7,1,2,18,2,2,0,3
Jarred Vanderbilt,25,LAL,PF,5,0,12.0,0.4,1.2,0.333,0.0,0.2,0.0,0.4,1.0,0.4,0.333,0.6,0.8,0.75,0.8,3.0,3.8,1.0,0.6,0.2,0.6,1.8,1.4,7,19,5,60,1,3,0,2
Drew Eubanks,27,LAC,C,3,0,4.3,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,1.3,2.0,0.667,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,1.3,4,1,0,13,0,0,0,0
Ariel Hukporti,22,NYK,C,3,0,1.7,0.7,0.7,1.0,0.0,0.0,,0.7,0.7,1.0,1.0,0.0,0.7,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.3,4,2,0,5,0,0,0,2
Jaime Jaquez Jr.,23,MIA,SF,3,0,6.3,0.3,2.0,0.167,0.0,0.7,0.0,0.3,1.3,0.25,0.167,0.7,0.7,1.0,1.0,0.3,1.3,0.3,0.0,0.0,0.3,0.3,1.3,4,4,1,19,0,0,0,1
Torrey Craig,34,BOS,SF,5,0,4.2,0.4,0.8,0.5,0.4,0.6,0.667,0.0,0.2,0.0,0.75,0.0,0.0,,0.4,0.6,1.0,0.6,0.2,0.0,0.2,0.4,1.2,6,5,3,21,0,1,2,0
Caleb Houstan,22,ORL,SF,5,0,9.4,0.4,2.8,0.143,0.4,2.0,0.2,0.0,0.8,0.0,0.214,0.0,0.0,,0.4,0.4,0.8,0.2,0.0,0.2,0.4,0.6,1.2,6,4,1,47,1,0,2,0
Zeke Nnaji,24,DEN,PF,6,0,5.7,0.2,1.3,0.125,0.2,1.0,0.167,0.0,0.3,0.0,0.188,0.7,1.2,0.571,0.5,0.7,1.2,0.3,0.2,0.3,0.3,1.0,1.2,7,7,2,34,2,1,1,0
Taurean Prince,30,MIL,SF,5,2,12.2,0.4,2.0,0.2,0.4,1.8,0.222,0.0,0.2,0.0,0.3,0.0,0.0,,0.0,1.0,1.0,1.6,0.4,0.2,1.0,0.6,1.2,6,5,8,61,1,2,2,0
Delon Wright,32,NYK,PG,6,0,8.0,0.3,1.5,0.222,0.2,1.0,0.167,0.2,0.5,0.333,0.278,0.3,0.3,1.0,0.2,0.2,0.3,0.8,0.5,0.2,0.2,0.0,1.2,7,2,5,48,1,3,1,1
Pacome Dadiet,19,NYK,SG,2,0,2.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0,4,0,0,0,1
JD Davison,22,BOS,PG,4,0,3.3,0.3,2.0,0.125,0.3,0.5,0.5,0.0,1.5,0.0,0.188,0.3,0.5,0.5,0.3,0.5,0.8,0.8,0.0,0.0,0.3,0.0,1.0,4,3,3,13,0,0,1,0
Jeff Green,38,HOU,PF,3,0,1.7,0.3,1.0,0.333,0.3,0.3,1.0,0.0,0.7,0.0,0.5,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0,5,0,0,1,0
Keshad Johnson,23,MIA,SF,2,0,4.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,2,1,0,8,0,0,0,1
Tyler Kolek,23,NYK,PG,3,0,2.0,0.3,0.3,1.0,0.3,0.3,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,1.0,3,1,3,6,0,0,1,0
Josh Minott,22,MIN,SF,5,0,4.6,0.4,1.6,0.25,0.2,1.2,0.167,0.2,0.4,0.5,0.313,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,1.0,5,0,2,23,1,0,1,1
Chuma Okeke,26,CLE,PF,3,0,4.3,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,3,0,1,13,0,1,1,0
DeAndre Jordan,36,DEN,C,7,0,5.1,0.4,0.4,1.0,0.0,0.0,,0.4,0.4,1.0,1.0,0.0,0.6,0.0,0.1,1.1,1.3,0.3,0.0,0.1,0.3,1.3,0.9,6,9,2,36,1,0,0,3
Jordan Goodwin,26,LAL,PG,4,0,7.8,0.3,1.3,0.2,0.0,0.5,0.0,0.3,0.8,0.333,0.2,0.3,0.5,0.5,0.5,0.8,1.3,0.5,0.3,0.3,0.3,1.8,0.8,3,5,2,31,1,1,0,1
Ben Simmons,28,LAC,PG,5,0,8.4,0.4,1.2,0.333,0.0,0.0,,0.4,1.2,0.333,0.333,0.0,0.0,,0.6,0.8,1.4,0.8,0.2,0.8,0.4,2.2,0.8,4,7,4,42,4,1,0,2
Goga Bitadze,25,ORL,C,3,0,3.7,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.0,2.0,0.7,2,3,1,11,1,0,0,1
Braxton Key,27,GSW,SF,5,0,4.6,0.2,1.6,0.125,0.0,0.2,0.0,0.2,1.4,0.143,0.125,0.0,0.0,,1.0,0.8,1.8,0.2,0.4,0.4,0.6,0.8,0.4,2,9,1,23,2,2,0,1
Johnny Furphy,20,IND,SG,11,0,3.2,0.1,0.4,0.25,0.0,0.2,0.0,0.1,0.2,0.5,0.25,0.0,0.1,0.0,0.1,0.5,0.5,0.1,0.0,0.1,0.1,0.5,0.2,2,6,1,35,1,0,0,1
Kyle Anderson,31,MIA,SF,2,0,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0,1,1,14,0,0,0,0
Vlatko Cancar,27,DEN,PF,3,0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0,2,0,11,0,0,0,0
Tristan Da Silva,23,ORL,SF,2,0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,0,4,1,5,0,0,0,0
Andre Jackson Jr.,23,MIL,SG,2,0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0,0,0,0
Bronny James,20,LAL,SG,2,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,0,0,0
Alex Len,31,LAL,C,2,0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,4,0,0,0,0
Chris Livingston,21,MIL,SF,2,0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5,0,0,0,0
Shake Milton,28,LAL,SG,2,0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,4,0,0,0,0
Reed Sheppard,20,HOU,PG,3,0,3.3,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.0,0,1,1,10,1,2,0,0
P.J. Tucker,39,NYK,SF,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,4,0,0,0,0
Jordan Walsh,20,BOS,PF,5,0,3.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0,1,1,15,0,0,0,0
Cam Whitmore,20,HOU,SF,3,0,1.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5,0,0,0,0
Jeenathan Williams,25,HOU,SG,3,0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0,0,0,5,0,0,0,0
