Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,total_PTS,total_RBS,total_AST,total_MP,total_BLK,total_STL,total_3PT,total_2P
Michael Porter Jr.,26,DEN,SF,14,14,31.1,3.4,8.6,0.392,1.7,5.0,0.343,1.6,3.6,0.46,0.492,0.7,1.0,0.714,1.0,4.5,5.5,0.6,0.6,0.4,0.9,1.9,9.1,127,77,8,435,6,8,24,22
Donte DiVincenzo,28,MIN,SG,15,0,25.1,3.1,8.4,0.365,1.9,5.9,0.318,1.2,2.5,0.474,0.476,0.7,0.9,0.769,0.8,2.3,3.1,3.3,1.4,0.3,1.9,3.0,8.7,130,46,50,376,4,21,28,18
Marvin Bagley III,25,MEM,PF,2,0,14.0,4.0,4.5,0.889,0.5,0.5,1.0,3.5,4.0,0.875,0.944,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.5,1.5,1.5,8.5,17,6,0,28,1,2,1,7
Nickeil Alexander-Walker,26,MIN,SG,15,0,20.7,2.9,7.5,0.389,1.5,4.2,0.349,1.5,3.3,0.44,0.487,1.0,1.1,0.882,0.5,1.3,1.8,2.3,0.4,0.3,1.5,1.6,8.3,125,27,34,310,4,6,22,22
Anthony Black,21,ORL,PG,5,0,17.8,3.0,7.4,0.405,0.4,2.6,0.154,2.6,4.8,0.542,0.432,1.8,2.6,0.692,2.0,2.4,4.4,0.0,0.8,0.2,0.4,1.6,8.2,41,22,0,89,1,4,2,13
Isaiah Hartenstein,26,OKC,C,23,20,22.4,3.6,5.8,0.619,0.0,0.0,,3.6,5.8,0.619,0.619,0.9,1.3,0.667,2.7,4.8,7.5,2.2,0.8,0.5,1.2,2.5,8.1,186,172,51,515,12,18,0,83
Al Horford,38,BOS,C,11,9,31.6,3.1,6.5,0.472,1.3,3.2,0.4,1.8,3.4,0.541,0.569,0.5,0.6,0.857,1.6,4.4,6.0,1.8,0.6,1.3,0.6,2.7,8.0,88,66,20,348,14,7,14,20
Luguentz Dort,25,OKC,SF,23,23,29.0,2.6,7.1,0.366,2.1,6.1,0.343,0.5,1.0,0.5,0.512,0.6,1.0,0.636,1.4,2.5,3.9,0.9,1.3,0.4,0.9,3.3,7.9,182,90,21,667,9,30,48,12
Rudy Gobert,32,MIN,C,15,15,27.4,3.1,5.3,0.582,0.0,0.0,,3.1,5.3,0.582,0.582,1.7,3.3,0.52,3.1,5.5,8.6,0.7,0.5,1.2,0.9,2.5,7.9,118,129,10,411,18,8,0,46
Kristaps Porzingis,29,BOS,C,11,7,21.0,2.3,7.2,0.316,0.4,2.4,0.154,1.9,4.8,0.396,0.342,2.8,4.1,0.689,1.9,2.7,4.6,0.7,0.9,0.8,0.9,2.4,7.7,85,51,8,231,9,10,4,21
Tari Eason,23,HOU,PF,7,0,18.9,3.0,6.3,0.477,1.0,2.7,0.368,2.0,3.6,0.56,0.557,0.6,1.1,0.5,1.0,3.3,4.3,0.7,1.1,1.0,1.4,1.9,7.6,53,30,5,132,7,8,7,14
Jabari Smith Jr.,21,HOU,PF,7,0,20.4,2.4,4.9,0.5,1.4,3.1,0.455,1.0,1.7,0.583,0.647,1.1,1.4,0.8,1.0,2.9,3.9,0.6,0.1,0.7,1.4,0.9,7.4,52,27,4,143,5,1,10,7
Haywood Highsmith,28,MIA,SF,4,0,21.0,2.8,4.8,0.579,1.8,3.8,0.467,1.0,1.0,1.0,0.763,0.0,0.0,,1.0,2.3,3.3,1.0,0.8,0.5,1.0,2.8,7.3,29,13,4,84,2,3,7,4
Derrick Jones Jr.,27,LAC,SF,7,1,18.4,3.0,6.9,0.438,0.9,2.9,0.3,2.1,4.0,0.536,0.5,0.4,1.1,0.375,0.7,1.1,1.9,0.3,0.6,1.3,0.4,0.4,7.3,51,13,2,129,9,4,6,15
Moses Moody,22,GSW,SG,12,2,16.1,2.3,6.7,0.35,1.3,3.8,0.333,1.1,2.9,0.371,0.444,1.2,1.4,0.824,0.8,1.4,2.2,1.2,0.5,0.3,0.3,1.3,7.1,85,26,14,193,4,6,16,13
Damian Lillard,34,MIL,PG,3,3,25.0,2.0,9.0,0.222,1.0,5.3,0.188,1.0,3.7,0.273,0.278,2.0,2.3,0.857,0.3,2.3,2.7,4.7,0.7,0.7,1.0,2.7,7.0,21,8,14,75,2,2,3,3
Bogdan Bogdanovic,32,LAC,SG,7,0,16.7,2.3,6.3,0.364,1.0,3.4,0.292,1.3,2.9,0.45,0.443,0.9,1.0,0.857,0.7,2.1,2.9,2.1,0.4,0.0,1.6,3.6,6.4,45,20,15,117,0,3,7,9
Kris Dunn,30,LAC,PG,7,6,21.9,2.4,6.3,0.386,1.4,4.0,0.357,1.0,2.3,0.438,0.5,0.0,0.0,,1.4,2.0,3.4,1.3,1.1,0.6,0.1,2.6,6.3,44,24,9,153,4,8,10,7
Zach Edey,22,MEM,C,4,4,27.0,2.5,3.8,0.667,0.0,0.0,,2.5,3.8,0.667,0.667,1.3,1.8,0.714,2.8,5.0,7.8,1.8,0.0,2.5,1.5,3.0,6.3,25,31,7,108,10,0,0,10
Dorian Finney-Smith,31,LAL,PF,5,1,34.0,2.4,5.8,0.414,1.4,3.8,0.368,1.0,2.0,0.5,0.534,0.0,0.0,,2.0,2.2,4.2,2.6,0.2,0.4,1.0,3.4,6.2,31,21,13,170,2,1,7,5
Alec Burks,33,MIA,SG,1,1,15.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,6,2,2,15,0,0,2,0
Mike Conley,37,MIN,PG,15,15,23.7,1.9,6.4,0.302,1.3,4.0,0.333,0.6,2.4,0.25,0.406,0.8,0.9,0.923,0.8,2.1,2.9,3.3,0.6,0.2,0.8,1.4,6.0,90,44,50,356,3,9,20,9
Jett Howard,21,ORL,SF,1,0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6,0,0,4,0,0,2,0
Jaylon Tyson,22,CLE,SG,4,0,7.8,1.8,3.8,0.467,1.3,2.3,0.556,0.5,1.5,0.333,0.633,1.3,1.5,0.833,0.8,1.0,1.8,1.8,0.5,0.3,0.5,1.0,6.0,24,7,7,31,1,2,5,2
Aaron Wiggins,26,OKC,SG,22,0,13.8,2.1,5.4,0.395,1.1,3.1,0.362,1.0,2.3,0.44,0.5,0.6,0.8,0.765,0.6,1.6,2.3,0.9,0.5,0.3,0.8,1.0,6.0,132,51,20,304,7,11,24,22
Kyle Kuzma,29,MIL,PF,5,4,20.4,2.4,7.0,0.343,0.4,2.0,0.2,2.0,5.0,0.4,0.371,0.6,1.2,0.5,0.6,1.6,2.2,0.8,0.0,0.2,0.6,2.4,5.8,29,11,4,102,1,0,2,10
Miles McBride,24,NYK,PG,18,0,18.9,1.9,5.0,0.378,1.2,3.3,0.373,0.7,1.7,0.387,0.5,0.8,0.9,0.824,0.2,1.0,1.2,1.0,0.4,0.1,0.6,1.2,5.8,104,22,18,340,2,7,22,13
Sam Merrill,28,CLE,SG,8,3,19.9,1.9,5.0,0.375,1.8,4.9,0.359,0.1,0.1,1.0,0.55,0.3,0.4,0.667,0.9,1.6,2.5,1.8,0.5,0.3,0.3,2.3,5.8,46,20,14,159,2,4,14,1
Steven Adams,31,HOU,C,7,0,22.1,1.7,2.9,0.6,0.0,0.0,,1.7,2.9,0.6,0.6,2.3,4.3,0.533,3.3,3.3,6.6,0.6,0.4,1.1,0.7,1.0,5.7,40,46,4,155,8,3,0,12
Nicolas Batum,36,LAC,PF,7,0,24.6,1.9,4.7,0.394,1.9,4.7,0.394,0.0,0.0,,0.591,0.0,0.0,,0.6,3.3,3.9,2.0,0.9,1.7,0.4,1.9,5.6,39,27,14,172,12,6,13,0
Cason Wallace,21,OKC,SG,23,3,22.4,2.2,5.2,0.429,0.9,2.7,0.323,1.3,2.5,0.544,0.513,0.3,0.4,0.667,1.0,1.7,2.7,2.1,1.4,0.4,0.7,2.2,5.6,129,62,48,515,9,32,21,30
Kobe Brown,25,LAC,PF,3,0,5.0,2.3,2.7,0.875,0.3,0.3,1.0,2.0,2.3,0.857,0.938,0.3,0.3,1.0,0.0,0.3,0.3,1.3,0.0,0.0,0.0,0.0,5.3,16,1,4,15,0,0,1,6
Isaiah Joe,25,OKC,SG,21,0,10.0,1.7,3.5,0.493,1.1,2.7,0.411,0.6,0.8,0.765,0.651,0.6,0.7,0.857,0.3,1.0,1.4,0.7,0.3,0.1,0.3,0.6,5.1,107,29,15,210,2,6,23,13
Kentavious Caldwell-Pope,31,ORL,SG,5,5,32.6,1.6,6.0,0.267,1.2,4.6,0.261,0.4,1.4,0.286,0.367,0.6,0.8,0.75,0.2,2.8,3.0,1.8,1.4,0.6,0.4,2.2,5.0,25,15,9,163,3,7,6,2
Cory Joseph,33,ORL,PG,5,5,24.8,2.0,4.8,0.417,1.0,3.2,0.313,1.0,1.6,0.625,0.521,0.0,0.0,,0.2,1.6,1.8,3.0,1.0,0.4,0.4,2.0,5.0,25,9,15,124,2,5,5,5
Pelle Larsson,23,MIA,SG,4,0,13.0,2.0,3.8,0.533,0.8,2.0,0.375,1.3,1.8,0.714,0.633,0.3,0.8,0.333,0.5,1.8,2.3,1.0,0.3,0.0,0.5,1.5,5.0,20,9,4,52,0,1,3,5
Brook Lopez,36,MIL,C,5,4,14.8,1.6,4.4,0.364,0.8,3.0,0.267,0.8,1.4,0.571,0.455,1.0,1.0,1.0,0.6,1.0,1.6,0.8,0.2,1.0,0.8,2.2,5.0,25,8,4,74,5,1,4,4
Kel'el Ware,20,MIA,C,4,4,18.3,2.0,4.5,0.444,0.8,2.8,0.273,1.3,1.8,0.714,0.528,0.0,0.0,,1.0,3.8,4.8,1.0,0.3,0.5,0.5,0.8,4.8,19,19,4,73,2,1,3,5
Mitchell Robinson,26,NYK,C,18,4,20.6,1.7,2.8,0.608,0.0,0.0,,1.7,2.8,0.608,0.608,1.2,3.1,0.393,3.7,3.3,7.1,0.4,0.9,0.8,0.7,2.1,4.7,85,128,7,371,14,16,0,31
Vince Williams Jr.,24,MEM,SG,3,0,12.7,1.3,2.3,0.571,1.3,2.3,0.571,0.0,0.0,,0.857,0.7,0.7,1.0,0.3,2.0,2.3,1.3,0.7,0.3,1.0,1.0,4.7,14,7,4,38,1,2,4,0
Isaac Okoro,24,CLE,SG,9,0,14.2,1.7,3.3,0.5,0.7,1.8,0.375,1.0,1.6,0.643,0.6,0.6,0.9,0.625,0.4,0.8,1.2,0.6,0.7,0.1,0.4,1.4,4.6,41,11,5,128,1,6,6,9
Gary Payton II,32,GSW,SG,11,1,16.4,1.9,4.3,0.447,0.8,2.1,0.391,1.1,2.2,0.5,0.543,0.0,0.0,,0.9,1.3,2.2,1.5,0.9,0.0,0.5,1.9,4.6,51,24,16,180,0,10,9,12
Terrence Shannon Jr.,24,MIN,SG,9,0,6.3,1.4,3.0,0.481,0.3,0.9,0.375,1.1,2.1,0.526,0.537,1.3,1.3,1.0,0.1,1.0,1.1,0.3,0.4,0.0,0.3,1.0,4.6,41,10,3,57,0,4,3,10
